id,nomeComune,nomeScientifico,ordine,famiglia,genere,tipo,Diffusione,Quota,Fogliazione,tagMargine,tagDisposizione,tagCorteccia,tagFrutto,descrizioneFoglia,descrizioneCorteccia,descrizioneFrutto,descrizioneChioma,descrizioneDettaglioFoglia
cipresso_arizona,Cipresso dell'Arizona,Cupressus arizonica,Cupressales,Cupressaceae,Cupressus,Conifera,Italia,Collina,Sempreverde,intero,opposte,squamosa,pigna,"Foglie ridotte a piccole squame, opposte e decussate, strettamente appressate al rametto, di colore grigio-verde o glauco, fragranti se sfregate. NB: specie eterofilla, come nel cipresso comune le foglie giovanili sono aghiformi mentre quelle adulte si presentano come squame embricate.","Corteccia grigio-bruna, spessa, fessurata in lunghe strisce fibrose che si sfaldano longitudinalmente.","Cono legnoso sferico o ovoidale (galbulo), composto da scudetti con un piccolo spuntone centrale, che si apre a maturità.","Chioma conico-piramidale regolare, con rami densi e portamento slanciato. Conifera ornamentale resistente alla siccità, diffusa nei parchi del sud Italia.","Foglie squamiformi, opposte e decussate, lunghe 1-2 mm, strettamente appressate al rametto. Colore grigio-verde o glauco. Margine intero, apice ottuso. Sessili."
cipresso_calvo,Cipresso calvo,Taxodium distichum,Cupressales,Cupressaceae,Taxodium,Conifera,Italia,Pianura,Decidua,intero,alterne,fessurata,pigna,"Foglie aghiformi piatte, lineari, disposte a pettine su due file, di colore verde chiaro, che in autunno assumono una splendida colorazione rosso-rame prima di cadere.","Corteccia grigio-bruna, spessa, profondamente fessurata in lunghe strisce fibrose che si sfaldano longitudinalmente.","Cono legnoso sferico o ovoidale, composto da scudetti irregolari, che si disarticola a maturità  rilasciando semi triangolari.","Chioma conico-piramidale e slanciata, con tronco eretto e rami orizzontali. Tipico delle zone paludose, sviluppa radici respiratorie (pneumatofori).","Aghi lineari, piatti, lunghi 1-2 cm, disposti a pettine su due file su rametti laterali decidui. Colore verde chiaro nella stagione vegetativa, rosso-rame in autunno. Pagina superiore con due bande stomatiche chiare. Margine intero, apice acuminato."
corbezzolo,Corbezzolo,Arbutus unedo,Ericales,Ericaceae,Arbutus,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Collina, Mare",Sempreverde,seghettato,alterne,squamosa,capsula,"Foglie alterne, persistenti, coriacee, ovali-lanceolate con margine finemente seghettato, verde scuro lucido sulla pagina superiore, più chiare sotto.","Corteccia rossastro-bruna, che si sfalda in sottili placche fibrose, rivelando strati interni più chiari.","Bacca globosa, rugosa e carnosa, di colore rosso-arancio a maturità , con polpa farinosa contenente numerosi piccoli semi.","Chioma densa, globosa o irregolare, con rami flessuosi e portamento arbustivo o di piccolo albero. Tipico della macchia mediterranea.","Foglie persistenti, coriacee, ovali-lanceolate, lunghe 5-10 cm, larghe 2-4 cm, con margine finemente seghettato. Pagina superiore verde scuro e lucido, inferiore più chiara e glabra. Nervatura pennata con nervature secondarie evidenti. Picciolo corto, fino a 1,5 cm, spesso rossastro."
erica_arborea,Erica arborea,Erica arborea,Ericales,Ericaceae,Erica,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Collina, Montagna",Sempreverde,intero,alterne,fessurata,capsula,"Foglie persistenti, aghiformi, lineari, riunite in verticilli di 4, di colore verde scuro. Molto piccole e dure al tatto.","Corteccia bruno-rossastra, sottile, che si fessura longitudinalmente in strisce verticali, rivelando un colore più chiaro internamente.","Capsula globosa, piccola, deiscente, contenente numerosi semi minutissimi.","Portamento arbustivo o di piccolo albero, con chioma fitta, cespugliosa e allargata. Tipico della macchia mediterranea su suoli acidi.","Foglie aghiformi, lineari, lunghe 4-7 mm, riunite in verticilli di 4. Colore verde scuro, coriacee e dure al tatto. Margine intero, apice acuminato. Picciolo quasi assente, lamina sessile."
eucalipto,Eucalipto comune,Eucalyptus globulus,Myrtales,Myrtaceae,Eucalyptus,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Pianura, Collina",Sempreverde,intero,alterne,squamosa,capsula,"Foglie alterne, persistenti, coriacee, di due tipi: le foglie giovanili sono opposte, sessili, ovate e glauche; le foglie adulte sono alterne, picciolate, lanceolate-falcate, pendule, di colore verde-glauco o grigio-verde, ricche di oli essenziali aromatici.","Corteccia grigio-brunastra o grigio-azzurrognola, liscia e fibrosa, che si sfalda in lunghe strisce verticali, rivelando strati interni più chiari, spesso giallastri o verdastri. Alla base il tronco può presentare corteccia rugosa e fessurata.","Capsula legnosa (opercolo) a forma di campana o coppa, con 4 denti sporgenti, contenente numerosi semi minutissimi. I frutti maturi sono persistenti sui rami per lungo tempo.","Chioma espansa, leggera e irregolare, con rami penduli e flessuosi. Portamento slanciato e maestoso, spesso con il tronco nudo e la chioma concentrata nella parte superiore. Albero a crescita rapidissima, originario dell'Australia, ampiamente coltivato in Italia per rimboschimenti e come ornamentale.","Foglie adulte lanceolate-falcate, lunghe 15-30 cm, larghe 2-4 cm, con apice acuminato e base cuneata. Margine intero, coriacee, glabre, di colore verde-glauco o grigio-verde, ricche di oli essenziali (cineolo). Nervatura pennata con nervature secondarie oblique e poco evidenti. Picciolo lungo 2-4 cm, spesso arrossato. Le foglie giovanili sono opposte, sessili, ovate, lunghe 5-15 cm, glauche."
faggio,Faggio,Fagus sylvatica,Fagales,Fagaceae,Fagus,Latifoglia,Italia,Montagna,Decidua,intero,alterne,liscia,capsula,"Foglie ovali-ellittiche con margine intero o leggermente ondulato, nervature parallele e ben evidenti. Pagina superiore verde scuro lucido, inferiore più chiara.",Corteccia liscia e grigia plumbea anche da vecchia.,Cupa con aculei morbidi contenente faggiole (nocciole triangolari).,"Chioma costituita sia da grossi rami ascendenti, che, nella parte distale, da rami più fini che formano un angolo molto acuto (30 gradi) e danno un aspetto piuttosto globoso ed ampio.","Foglie semplici, alterne, ovali-ellittiche, lunghe 5-10 cm, larghe 3-6 cm, con apice acuminato e base cuneata. Margine intero o leggermente ondulato, con ciglia marginali. Pagina superiore verde scuro e lucido, inferiore più chiara. Nervature pennate con 5-8 paia di nervature secondarie evidenti. Picciolo corto, fino a 1 cm."
farnetto,Farnetto,Quercus frainetto,Fagales,Fagaceae,Quercus,Latifoglia,"Centro, Sud",Collina,Decidua,lobato,alterne,fessurata,ghianda,"Foglie alterne, grandi, obovate, con 7-12 lobi profondi e stretti, quasi lineari, margine intero o leggermente dentato. Pagina inferiore tomentosa e grigiastra.","Corteccia grigio-bruna, spessa, profondamente fessurata longitudinalmente in costoloni reticolati e scaglie stabili.","Ghianda ovoidale, protetta per metà  da una cupola con squame appressate e pubescenti, sostenuta da un corto peduncolo.","Chioma ampia, globosa e molto densa, con tronco robusto e rami ascendenti. Tipica del centro-sud Italia.","Foglie grandi, obovate, lunghe 15-25 cm, larghe 10-15 cm, con 7-12 paia di lobi profondi e stretti, quasi lineari. Margine intero o leggermente dentato. Pagina superiore verde scuro opaco, inferiore tomentosa e grigiastra. Nervature pennate con 10-14 paia di nervature secondarie. Picciolo corto, fino a 1 cm."
farnia,Farnia,Quercus robur,Fagales,Fagaceae,Quercus,Latifoglia,Nord,Pianura,Decidua,lobato,alterne,fessurata,ghianda,"Foglie alterne, obovate, lobate con lobi arrotondati e base della lamina provvista di due orecchiette caratteristiche. Picciolo quasi assente (cortissimo).","Corteccia grigio-bruna, precocemente fessurata in profondi solchi longitudinali e costoloni verticali spessi.","Ghiande allungate, riunite a gruppi di 2-5 e sorrette da un lunghissimo peduncolo comune (caratteristica diagnostica chiave).","Chioma monumentale, molto ampia, globosa e aperta, con rami principali massicci, nodosi e contorti.","Foglie semplici, alterne, obovate, lunghe 6-15 cm, larghe 3-8 cm, con 4-7 paia di lobi arrotondati. Base della lamina provvista di due caratteristiche orecchiette (auricole). Margine intero o leggermente ondulato. Pagina superiore verde scuro, inferiore più chiara e glabra. Picciolo quasi assente (1-2 mm)."
fragno,Fragno,Quercus trojana,Fagales,Fagaceae,Quercus,Latifoglia,Sud,Collina,Decidua,seghettato,alterne,fessurata,ghianda,"Foglie alterne, persistenti, coriacee, ovato-lanceolate, con margine dentato-spinoso simile al leccio, di colore verde scuro lucido.","Corteccia grigio-scura o nerastra, spessa, fessurata in piccole placche quadrangolari squamose e stabili.","Ghianda ovoidale, protetta per circa un terzo da una cupola con squame appressate, di colore marrone lucido.","Chioma densa, globosa o irregolare, con tronco breve e nodoso. Quercia termofila tipica del sud Italia e delle isole.","Foglie persistenti, coriacee, ovato-lanceolate, lunghe 4-8 cm, larghe 2-4 cm, con margine dentato-spinoso (simile al leccio). Pagina superiore verde scuro e lucido, inferiore più chiara e pubescente. Nervature pennate con 5-7 paia di nervature secondarie. Picciolo corto, fino a 1 cm."
frassino,Frassino maior,Fraxinus excelsior,Lamiales,Oleaceae,Fraxinus,Latifoglia,"Nord, Centro","Collina, Montagna",Decidua,seghettato,opposte,liscia,samara,"Foglie opposte, composte imparipennate con 9-15 foglioline seghettate. Foglioline ovato-lanceolate, sessili o sub-sessili.","Corteccia liscia grigio-chiara da giovane, poi fessurata longitudinalmente in costoloni verticali.",Samara allungata e pendula in grappoli.,"Chioma leggera e ovale-piramidale in gioventù, diventa più arrotondata con l'età .","Foglie composte imparipennate, opposte, lunghe 15-30 cm, con 9-15 foglioline ovato-lanceolate, lunghe 5-10 cm, larghe 2-4 cm. Margine seghettato. Pagina superiore verde scuro, inferiore più chiara e glabra. Rachide robusto, picciolo lungo 2-5 cm."
gelso_bianco,Gelso comune (Gelso bianco),Morus alba,Rosales,Moraceae,Morus,Latifoglia,Italia,Pianura,Decidua,seghettato,alterne,fessurata,capsula,"Foglie alterne, molto variabili nella forma (da intere a profondamente lobate), cuoriformi o ovate, con margine seghettato. La pagina superiore è liscia, glabra e decisamente lucida (differenza chiave dal gelso nero che è ruvido). NB: specie eterofilla, sulla stessa pianta (specialmente sui polloni) convivono foglie intere e foglie profondamente lobate.","Corteccia grigio-giallastra o bruno-chiara, che si fessura precocemente in senso longitudinale formando costoloni profondi e un disegno a reticolo abbastanza regolare.","Infruttescenza carnosa (mora di gelso) formata da piccoli frutti aggregati, portata da un peduncolo ben evidente. A maturità  è tipicamente bianco-giallastra o rosa-violacea, dal sapore dolciastro.","Chioma ampia, fitta, rotondeggiante e molto espansa, spesso ramificata a bassa altezza. I rami sono lisci e grigiastri, con portamento robusto.","Foglie semplici, alterne, molto variabili nella forma: da intere a profondamente lobate (fino a 3-5 lobi), cuoriformi o ovate, lunghe 5-15 cm. Margine seghettato, pagina superiore liscia, glabra e lucida. Nervature palmato-reticolate con 3-5 nervature principali. Picciolo lungo 2-5 cm, spesso con ghiandole nettarifere."
gelso_nero,Gelso nero,Morus nigra,Rosales,Moraceae,Morus,Latifoglia,Italia,"Pianura, Collina",Decidua,seghettato,alterne,fessurata,capsula,"Foglie alterne, cuoriformi o ovate, a volte lobate, con base subcordata e apice acuto. Margine seghettato e pagina superiore marcatamente ruvida. NB: specie eterofilla, come nel gelso bianco si trovano sulla stessa pianta foglie intere e foglie lobate, specialmente sui rami giovani.","Corteccia grigio-bruna o rossastra, precocemente rugosa, fessurata longitudinalmente in costoloni spessi e desquamata nei vecchi esemplari.","Infruttescenza carnosa ovoidale (mora di gelso) composta da piccoli frutti aggregati, succosa, di colore rosso scuro o nero-violaceo a maturità .","Chioma ampia, densa, espansa e arrotondata, spesso disordinata, sorretta da un tronco breve e robusto con rami contorti.","Foglie semplici, alterne, cuoriformi o ovate, lunghe 8-15 cm, larghe 6-10 cm, con base subcordata e apice acuminato. Margine seghettato, pagina superiore marcatamente ruvida al tatto (differenza dal gelso bianco). Nervature pennate con 5-7 paia di nervature secondarie. Picciolo lungo 2-4 cm, pubescente."
ginepro_comune,Ginepro comune,Juniperus communis,Cupressales,Cupressaceae,Juniperus,Conifera,Italia,"Collina, Montagna",Sempreverde,intero,verticillate,squamosa,pigna,"Foglie aghiformi, persistenti, riunite in verticilli di 3, rigide e pungenti, con una banda stomatica biancastra sulla pagina superiore.","Corteccia bruno-rossastra, sottile, che si sfalda in strisce longitudinali, rivelando strati interni più chiari.","Galbulo (cono) carnoso, globoso, di colore nero-bluastro a maturità, ricoperto da una pruina cerosa, contenente 1-3 semi.","Portamento arbustivo o di piccolo albero, con chioma densa e irregolare, spesso colonnare o piramidale. Tipico dei pascoli montani e delle lande.","Foglie aghiformi, persistenti, riunite in verticilli di 3, lunghe 1-2 cm, rigide e pungenti. Pagina superiore con una banda stomatica biancastra, inferiore verde scuro. Margine intero, apice acuminato. Sessili, con base aderente al rametto."
ginkgo,Ginkgo,Ginkgo biloba,Ginkgoales,Ginkgoaceae,Ginkgo,Latifoglia,Italia,"Pianura, Collina",Decidua,lobato,alterne,liscia,capsula,"Foglie alterne, uniche nel loro genere, a forma di ventaglio con nervature parallele e dicotome, lobate o incise, di colore verde brillante che in autunno vira a un intenso giallo oro. NB: specie eterofilla, sui getti giovani o vigorosi (polloni) le foglie sono spesso più profondamente incise e irregolari rispetto alla tipica forma a ventaglio bilobata dei rami adulti.","Corteccia grigio-brunastra, inizialmente liscia, che con l'età  si fessura longitudinalmente in creste rugose e spesse.","Seme duro, ovoidale, di colore giallo-arancio a maturità , con odore sgradevole dovuto all'acido butirrico. La parte esterna carnosa è maleodorante.","Chioma conico-piramidale da giovane, poi espansa e irregolare, con rami eretti e rametti penduli. Albero monumentale, noto come fossile vivente.","Foglie semplici, alterne, a forma di ventaglio, lunghe 5-8 cm, larghe 5-8 cm, con nervature parallele e dicotome che si dividono all'estremità . Margine intero o più spesso inciso in due lobi. Pagina superiore verde brillante, inferiore più chiara. Picciolo lungo 4-8 cm, sottile."
gleditsia,Gleditsia,Gleditschia triacanthos,Fabales,Fabaceae,Gleditsia,Latifoglia,Italia,Pianura,Decidua,seghettato,alterne,fessurata,capsula,"Foglie alterne, composte bipennate o pennate, lunghe 15-30 cm, formate da numerose foglioline ovali con margine seghettato, di colore verde chiaro.","Corteccia grigio-bruna, liscia da giovane, che col tempo si fessura in placche sottili e si solleva, rivelando strati interni aranciati. Caratterizzata da grandi spine ramificate sul tronco e sui rami.","Legume (baccello) piatto, allungato (20-40 cm), spesso attorcigliato, di colore bruno-rossastro a maturità , contenente semi scuri.","Chioma leggera, espansa e irregolare, con rami sinuosi e penduli. Albero esotico spinoso, usato nei parchi storici.","Foglie composte bipennate o pennate, alterne, lunghe 15-30 cm, con 10-20 paia di foglioline ovali, lunghe 2-4 cm, larghe 1-2 cm. Margine seghettato, pagina superiore verde chiaro, inferiore più chiara. Rachide robusto, picciolo lungo 3-5 cm."
ippocastano,Ippocastano,Aesculus hippocastanum,Sapindales,Sapindaceae,Aesculus,Latifoglia,Italia,"Pianura, Collina",Decidua,seghettato,opposte,fessurata,capsula,"Foglie opposte, grandi, composte palmate con 5-7 foglioline obovate a ventaglio, con margine vistosamente seghettato o doppiamente dentato.","Corteccia grigio-bruna, inizialmente liscia, che negli esemplari adulti si fessura e si distacca in ampie placche rugose sollevate.","Capsula verde, globosa e provvista di corte spine (riccio carnoso), che si apre in 3 valve liberando 1-2 grandi semi lucidi (castagne d'India).","Chioma imponente, globosa o piramidale, molto densa e ramificata. Rami inferiori spesso arcuati verso il basso e risalenti all'estremità .","Foglie composte palmate, opposte, con 5-7 foglioline obovate a ventaglio, lunghe 10-20 cm, larghe 5-10 cm. Margine vistosamente seghettato o doppiamente dentato. Pagina superiore verde scuro, inferiore più chiara e glabra. Picciolo lungo 10-20 cm."
larice,Larice comune,Larix decidua,Pinales,Pinaceae,Larix,Conifera,Nord,Montagna,Decidua,intero,coppie,fessurata,pigna,"Foglie aghiformi flessibili, non pungenti, riunite in ciuffi densi (20-40 aghi) sui brachiblasti o singole sui macroblasti. E'  l'unica conifera europea a perdere completamente gli aghi in autunno dopo una splendida colorazione gialla.","Corteccia grigiastra e liscia da giovane, che diventa molto spessa, sugherosa, profondamente fessurata in placche brune o rossastre all'interno.","Strobilo (pigna) piccolo, ovoide, eretto, con squame legnose appressate a margine intero, persistente sui rami per diversi anni.","Chioma leggera, rada, conico-piramidale ed elegante, con rami principali orizzontali e rametti secondari penduli. Portamento slanciato d'alta quota.","Aghi lunghi 1-3 cm, flessibili, non pungenti, riuniti in ciuffi densi di 20-40 aghi sui brachiblasti (rametti corti), o singoli sui macroblasti. Sezione trasversale triangolare, colore verde chiaro. Cadono in autunno dopo una colorazione giallo-oro."
leccio,Leccio,Quercus ilex,Fagales,Fagaceae,Quercus,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Collina, Mare",Sempreverde,intero,alterne,fessurata,ghianda,"Foglie alterne, persistenti (sempreverdi), coriacee, da lanceolate a ellittiche. Margine intero (o spinoso-dentato nei giovani rami), pagina inferiore grigio-tomentosa.","Corteccia grigio-scura o nerastra, fittamente fessurata in piccole scaglie quadrate persistenti e dure.","Ghianda ovale, protetta per circa un terzo o metà  da una cupola con squame ben appressate e finemente pubescenti.","Chioma densa, globosa e cupa, molto ramificata. Portamento maestoso tipico della macchia mediterranea.","Foglie persistenti, coriacee, lanceolate o ellittiche, lunghe 3-8 cm, larghe 1-3 cm. Margine intero (o spinoso-dentato nei giovani rami), apice acuminato. Pagina superiore verde scuro e lucido, inferiore grigio-tomentosa per fitta peluria stellata. Nervature pennate con 5-8 paia di nervature secondarie. Picciolo corto, fino a 1 cm."
liquidambar,Liquidambar (Storace),Liquidambar styraciflua,Saxifragales,Altingiaceae,Liquidambar,Latifoglia,Italia,Pianura,Decidua,lobato,alterne,fessurata,capsula,"Foglie alterne, palmatilobate con 5-7 lobi appuntiti a stella, finemente seghettate, che assumono spettacolari tonalità  rosse e porpora in autunno.","Corteccia grigio-bruna, fessurata e rugosa, spesso provvista di caratteristiche escrescenze sugherose sporgenti (ali di sughero) sui rametti.","Infruttescenze globose e legnose (palline) munite di capsule appuntite e spinose, appese a un lungo peduncolo, persistenti in inverno.","Chioma dapprima strettamente piramidale o conica, poi più arrotondata negli esemplari maturi. Portamento molto geometrico ed elegante.","Foglie semplici, alterne, palmatilobate con 5-7 lobi appuntiti a stella, lunghe 10-15 cm, larghe 10-15 cm. Margine finemente seghettato. Pagina superiore verde scuro, inferiore più chiara e glabra. Nervature palmato-reticolate con 5-7 nervature principali. Picciolo lungo 5-10 cm. Colorazione autunnale spettacolare."
liriodendro,Liriodendro (Albero dei tulipani),Liriodendron tulipifera,Magnoliales,Magnoliaceae,Liriodendron,Latifoglia,Italia,"Pianura, Collina",Decidua,lobato,alterne,fessurata,samara,"Foglie alterne, uniche nel loro genere, a forma di sella o di profilo di tulipano, con 4 lobi speculari e un apice tronco o nettamente inciso.","Corteccia grigio-chiara, inizialmente liscia con sottili solchi, che diventa fessurata con un disegno a reticolo geometrico regolare.","Infruttescenza eretta a forma di cono, composta da numerose samare alate strettamente appressate che si staccano in autunno.","Chioma imponente, inizialmente piramidale e poi colonnare ed espansa, molto regolare. Apprezzato per la fioritura simile a tulipani.","Foglie semplici, alterne, uniche nel loro genere: a forma di sella o di profilo di tulipano, con 4 lobi speculari e un apice tronco o nettamente inciso. Lunghe 8-15 cm, larghe 8-15 cm. Margine intero, pagina superiore verde brillante, inferiore più chiara. Nervature palmato-reticolate con 3-5 nervature principali. Picciolo lungo 5-10 cm."
magnolia,Magnolia grandiflora,Magnolia grandiflora,Magnoliales,Magnoliaceae,Magnolia,Latifoglia,Italia,"Pianura, Collina",Sempreverde,intero,alterne,fessurata,pigna,"Foglie alterne, grandi, persistenti, ellittiche, estremamente coriacee. Pagina superiore verde scuro lucida (effetto lacca), inferiore color ruggine e pubescente.","Corteccia grigia o bruno-grigiastra, inizialmente liscia, che col tempo si fessura in piccole placche quadrate o scaglie stabili.","Infruttescenza eretta a forma di cono o pigna (follicolo composto) legnosa, da cui a maturità  escono vistosi semi ovali di colore rosso vivo.","Chioma densa, regolare, conico-piramidale o rotondeggiante, molto ramificata fin dalla base. Famosa per gli enormi fiori bianchi profumati.","Foglie persistenti, grandi, ellittiche, lunghe 10-20 cm, larghe 5-10 cm, estremamente coriacee. Margine intero, apice acuminato. Pagina superiore verde scuro e lucido (effetto lacca), inferiore color ruggine e pubescente per fitta peluria. Nervature pennate con 8-12 paia di nervature secondarie. Picciolo corto e robusto, fino a 2 cm."
melo,Melo selvatico,Malus sylvestris,Rosales,Rosaceae,Malus,Latifoglia,Italia,"Collina, Montagna",Decidua,seghettato,alterne,fessurata,capsula,"Foglie alterne, ovate o ellittiche, con apice acuto e margine seghettato o crenato. Pagina inferiore opaca e leggermente pubescente.","Corteccia grigiastra o bruna, inizialmente liscia, che col tempo si fessura e si squama in placche sottili e irregolari.","Falso frutto chiamato pomo (mela), globoso, con fossetta calicina e peduncolare, di colore variabile (verde, giallo, rosso) e polpa soda.","Chioma arrotondata, espansa e fitta, spesso irregolare, sorretta da un tronco breve e nodoso.","Foglie semplici, alterne, ovate o ellittiche, lunghe 4-8 cm, larghe 2-4 cm, con apice acuminato e base arrotondata. Margine seghettato o crenato. Pagina superiore verde scuro, inferiore opaca e leggermente pubescente. Nervature pennate con 5-7 paia di nervature secondarie. Picciolo lungo 1-2 cm, spesso pubescente."
mimosa,Mimosa,Acacia dealbata,Fabales,Fabaceae,Acacia,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Collina, Mare",Sempreverde,intero,alterne,liscia,capsula,"Foglie alterne, composte bipennate, lunghe 5-12 cm, di colore verde-glauco o argentato. Sono suddivise in 10-30 coppie di segmenti principali, a loro volta composti da decine di minuscole foglioline lineari con margine intero.","Corteccia inizialmente liscia, di colore grigio-verde o grigio chiaro opaco nei rami e nei giovani tronchi. Tende a diventare finemente fessurata o rugosa solo negli esemplari molto vecchi.","Il frutto è un legume deiscente, compresso verde-azzurrognolo o bruno-rossiccio","Chioma ampia, espansa e irregolare, con rami flessuosi e un portamento leggero e piumoso. Spesso si presenta molto ramificata fin dalla base.","Foglie composte bipennate, alterne, lunghe 5-12 cm, con 10-30 paia di segmenti principali. Ogni segmento è composto da 20-40 paia di foglioline lineari, lunghe 2-5 mm, a margine intero. Colore verde-glauco o argentato. Rachide sottile, picciolo lungo 1-3 cm."
mirto,Mirto comune,Myrtus communis,Myrtales,Myrtaceae,Myrtus,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Collina, Mare",Sempreverde,intero,opposte,fessurata,capsula,"Foglie opposte, persistenti (sempreverdi), coriacee, piccole, ovali-lanceolate e glabre. Se sfregate emanano un profumo aromatico molto intenso.","Corteccia rossastra o bruno-aranciata, sottile, che si fessura longitudinalmente e si distacca in strisce verticali negli esemplari arborei.","Bacca globosa o ovoidale (mirtillo) di colore nero-azzurrognolo o violaceo, ricca di semi, sormontata dai residui del calice.","Portamento tipicamente arbustivo o di piccolo albero, con chioma fittissima, densa, globosa e cespugliosa. Simbolo della macchia mediterranea.","Foglie persistenti, opposte, coriacee, ovali-lanceolate, lunghe 2-4 cm, larghe 1-2 cm, con apice acuminato. Margine intero, pagina superiore verde scuro e lucido, inferiore più chiara e glabra. Nervatura pennata con nervature secondarie poco evidenti. Picciolo corto, fino a 0,5 cm. Fortemente aromatiche."
nocciolo,Nocciolo,Corylus avellana,Fagales,Betulaceae,Corylus,Latifoglia,Italia,"Collina, Montagna",Decidua,seghettato,alterne,liscia,capsula,"Foglie alterne, grandi, cuoriformi (cordate), con apice acuminato e margine doppiamente seghettato. Pagina superiore verde scuro opaco, inferiore pubescente.","Corteccia grigio-bruna, liscia e lucida, con lenticelle evidenti, che si fessura leggermente con l'età.","Noce (nocciola) globosa o ovoidale, racchiusa in un involucro fogliaceo (cupola) frastagliato, che si apre a maturità liberando il seme edule.","Chioma arbustiva o di piccolo albero, densa e cespugliosa, con rami flessuosi e portamento allargato. Tipico del sottobosco e delle siepi.","Foglie semplici, alterne, cuoriformi (cordate), lunghe 6-12 cm, larghe 5-10 cm, con apice acuminato e base cordata. Margine doppiamente seghettato. Pagina superiore verde scuro opaco, inferiore pubescente. Nervature pennate con 6-8 paia di nervature secondarie. Picciolo lungo 1-2 cm, pubescente."
noce,Noce comune,Juglans regia,Fagales,Juglandaceae,Juglans,Latifoglia,Italia,"Pianura, Collina",Decidua,intero,alterne,fessurata,capsula,"Foglie alterne, grandi, composte imparipennate con 5-9 foglioline ovali-ellittiche a margine intero, aromatiche se sfregate.","Corteccia grigio-chiara e liscia da giovane, che diviene profondamente fessurata longitudinalmente con l'età , formando larghi costoloni grigi.","Drupa globosa (mallo) carnosa e verde, che a maturità  si secca e si apre liberando il nocciolo legnoso ed edule (la noce).","Chioma ampia, globosa e maestosa, ramificata ad alto fusto, con rami robusti e radi.","Foglie composte imparipennate, alterne, lunghe 20-40 cm, con 5-9 foglioline ovali-ellittiche, lunghe 6-15 cm, larghe 3-8 cm. Margine intero, pagina superiore verde scuro, inferiore più chiara e glabra. Nervature pennate con 5-7 paia di nervature secondarie. Picciolo robusto, lungo 5-10 cm. Aromatiche se sfregate."
noce_americano,Noce americano (Hickory),Carya sp.,Fagales,Juglandaceae,Carya,Latifoglia,Italia,Pianura,Decidua,seghettato,alterne,fessurata,capsula,"Foglie alterne, composte imparipennate con 5-9 foglioline ovali-lanceolate a margine finemente seghettato, di colore verde scuro lucido, che in autunno assumono tonalità  giallo-dorate.","Corteccia grigio-chiara, spessa, profondamente fessurata in costoloni reticolati che si incrociano, con creste spesse e dure al tatto.","Noce globosa o ovoidale, con guscio legnoso duro e rugoso, contenente un seme edule dal sapore dolce.","Chioma ampia, globosa e molto densa, con tronco dritto e rami ascendenti. Albero nordamericano dei parchi storici e arboreti.","Foglie composte imparipennate, alterne, lunghe 20-30 cm, con 5-9 foglioline ovali-lanceolate, lunghe 8-15 cm, larghe 3-5 cm. Margine finemente seghettato. Pagina superiore verde scuro e lucido, inferiore più chiara e glabra. Nervature pennate con 10-15 paia di nervature secondarie. Picciolo robusto, lungo 5-10 cm."
olivo,Olivo,Olea europaea,Lamiales,Oleaceae,Olea,Latifoglia,"Centro, Sud, Sicilia, Sardegna","Collina, Mare",Sempreverde,intero,opposte,fessurata,capsula,"Foglie opposte, persistenti, coriacee, lanceolate o lineari, a margine intero. Pagina superiore verde scuro opaco, inferiore argentea per la presenza di peli stellati.","Corteccia grigia o cinerea, liscia nei giovani rami, che diventa precocemente tormentata, nera, profondamente fessurata e scabra sul tronco.","Drupa ovoidale o globosa (oliva) con esocarpo sottile, mesocarpo carnoso e oleoso, ed endocarpo legnoso (nocciolo solcato).","Chioma espansa, irregolare e mediamente densa. Il tronco è inconfondibile: nodoso, tormentato, spesso concavo o diviso in ceppaie monumentali.","Foglie persistenti, opposte, coriacee, lanceolate o lineari, lunghe 3-6 cm, larghe 0,5-1 cm. Margine intero, apice acuminato. Pagina superiore verde scuro opaco, inferiore argentea per fitta peluria stellata. Nervatura pennata con nervature secondarie poco evidenti. Picciolo corto, fino a 0,5 cm."
olmo,Olmo campestre,Ulmus minor,Rosales,Ulmaceae,Ulmus,Latifoglia,Italia,"Pianura, Collina",Decidua,seghettato,alterne,fessurata,samara,"Foglie ovali con base fortemente asimmetrica e margine seghettato. Pagina superiore ruvida, inferiore pubescente.",Corteccia grigio-marrone fessurata profondamente a rete.,Samara alata arrotondata con seme centrale.,"Albero di prima grandezza che in condizioni ottimali può raggiungere i 30-40 m di altezza e un diametro del tronco di 1,5-2 m. Portamento irregolare, cespuglioso.","Foglie semplici, alterne, ovali o ovato-ellittiche, lunghe 4-8 cm, larghe 2-4 cm, con base fortemente asimmetrica e apice acuminato. Margine seghettato, pagina superiore ruvida, inferiore pubescente. Nervature pennate con 10-15 paia di nervature secondarie. Picciolo corto, fino a 0,5 cm."
